idMiembroSecundario,tipo
90490,Invitado
90491,Egresado
90492,Padre
90493,Invitado
90494,Padre
90495,Egresado
90496,Invitado
90497,Padre
90498,Padre
90499,Egresado
90500,Padre
90501,Padre
90502,Invitado
90503,Padre
90504,Invitado
90505,Padre
90506,Invitado
90507,Invitado
90508,Invitado
90509,Egresado
90510,Egresado
90511,Invitado
90512,Invitado
90513,Egresado
90514,Egresado
90515,Invitado
90516,Egresado
90517,Padre
90518,Padre
90519,Padre
90520,Padre
90521,Invitado
90522,Padre
90523,Egresado
90524,Egresado
90525,Padre
90526,Invitado
90527,Egresado
90528,Invitado
90529,Egresado
90530,Egresado
90531,Padre
90532,Padre
90533,Padre
90534,Padre
90535,Padre
90536,Invitado
90537,Egresado
90538,Padre
90539,Padre
90540,Padre
90541,Padre
90542,Padre
90543,Invitado
90544,Invitado
90545,Egresado
90546,Egresado
90547,Egresado
90548,Invitado
90549,Egresado
90550,Padre
90551,Invitado
90552,Padre
90553,Invitado
90554,Invitado
90555,Padre
90556,Egresado
90557,Egresado
90558,Padre
90559,Padre
90560,Invitado
90561,Padre
90562,Egresado
90563,Egresado
90564,Invitado
90565,Padre
90566,Egresado
90567,Invitado
90568,Invitado
90569,Padre
90570,Egresado
90571,Padre
90572,Invitado
90573,Padre
90574,Padre
90575,Padre
90576,Egresado
90577,Invitado
90578,Padre
90579,Egresado
90580,Padre
90581,Padre
90582,Padre
90583,Egresado
90584,Padre
90585,Padre
90586,Padre
90587,Invitado
90588,Egresado
90589,Invitado
90590,Egresado
90591,Padre
90592,Egresado
90593,Invitado
90594,Invitado
90595,Egresado
90596,Invitado
90597,Invitado
90598,Egresado
90599,Padre
90600,Invitado
90601,Egresado
90602,Padre
90603,Invitado
90604,Egresado
90605,Invitado
90606,Egresado
90607,Invitado
90608,Invitado
90609,Padre
90610,Padre
90611,Padre
90612,Egresado
90613,Padre
90614,Invitado
90615,Egresado
90616,Egresado
90617,Egresado
90618,Invitado
90619,Invitado
90620,Padre
90621,Invitado
90622,Egresado
90623,Invitado
90624,Padre
90625,Invitado
90626,Padre
90627,Egresado
90628,Padre
90629,Padre
90630,Egresado
90631,Invitado
90632,Padre
90633,Egresado
90634,Invitado
90635,Padre
90636,Padre
90637,Invitado
90638,Padre
90639,Egresado
90640,Egresado
90641,Egresado
90642,Invitado
90643,Invitado
90644,Egresado
90645,Invitado
90646,Egresado
90647,Padre
90648,Padre
90649,Invitado
90650,Egresado
90651,Padre
90652,Egresado
90653,Padre
90654,Padre
90655,Egresado
90656,Egresado
90657,Padre
90658,Egresado
90659,Invitado
90660,Egresado
90661,Egresado
90662,Invitado
90663,Egresado
90664,Invitado
90665,Invitado
90666,Egresado
90667,Padre
90668,Egresado
90669,Invitado
90670,Padre
90671,Padre
90672,Invitado
90673,Egresado
90674,Padre
90675,Invitado
90676,Egresado
90677,Invitado
90678,Invitado
90679,Invitado
90680,Invitado
90681,Egresado
90682,Invitado
90683,Egresado
90684,Invitado
90685,Invitado
90686,Padre
90687,Egresado
90688,Invitado
90689,Padre
90690,Padre
90691,Invitado
90692,Invitado
90693,Egresado
90694,Invitado
90695,Padre
90696,Egresado
90697,Invitado
90698,Invitado
90699,Invitado
90700,Invitado
90701,Egresado
90702,Padre
90703,Egresado
90704,Egresado
90705,Padre
90706,Padre
90707,Egresado
90708,Egresado
90709,Invitado
90710,Padre
90711,Padre
90712,Invitado
90713,Egresado
90714,Egresado
90715,Egresado
90716,Egresado
90717,Padre
90718,Invitado
90719,Egresado
90720,Egresado
90721,Padre
90722,Egresado
90723,Padre
90724,Padre
90725,Egresado
90726,Padre
90727,Invitado
90728,Padre
90729,Invitado
90730,Egresado
90731,Invitado
90732,Padre
90733,Invitado
90734,Egresado
90735,Egresado
90736,Invitado
90737,Invitado
90738,Invitado
90739,Invitado
90740,Invitado
90741,Padre
90742,Invitado
90743,Invitado
90744,Invitado
90745,Invitado
90746,Egresado
90747,Invitado
90748,Egresado
90749,Invitado
90750,Padre
90751,Invitado
90752,Egresado
90753,Padre
90754,Invitado
90755,Egresado
90756,Padre
90757,Padre
90758,Egresado
90759,Padre
90760,Padre
90761,Padre
90762,Padre
90763,Invitado
90764,Egresado
90765,Egresado
90766,Padre
90767,Egresado
90768,Invitado
90769,Egresado
90770,Padre
90771,Invitado
90772,Egresado
90773,Egresado
90774,Invitado
90775,Padre
90776,Padre
90777,Invitado
90778,Padre
90779,Padre
90780,Invitado
90781,Padre
90782,Padre
90783,Padre
90784,Egresado
90785,Invitado
90786,Invitado
90787,Egresado
90788,Padre
90789,Invitado
90790,Padre
90791,Padre
90792,Egresado
90793,Invitado
90794,Padre
90795,Invitado
90796,Egresado
90797,Padre
90798,Invitado
90799,Padre
90800,Invitado
90801,Padre
90802,Egresado
90803,Padre
90804,Invitado
90805,Egresado
90806,Padre
90807,Egresado
90808,Egresado
90809,Egresado
90810,Padre
90811,Padre
90812,Egresado
90813,Invitado
90814,Padre
90815,Invitado
90816,Padre
90817,Egresado
90818,Invitado
90819,Padre
90820,Invitado
90821,Egresado
90822,Invitado
90823,Egresado
90824,Egresado
90825,Invitado
90826,Egresado
90827,Egresado
90828,Egresado
90829,Egresado
90830,Egresado
90831,Padre
90832,Invitado
90833,Egresado
90834,Egresado
90835,Padre
90836,Egresado
90837,Invitado
90838,Egresado
90839,Invitado
90840,Padre
90841,Egresado
90842,Egresado
90843,Padre
90844,Egresado
90845,Egresado
90846,Invitado
90847,Padre
90848,Invitado
90849,Egresado
90850,Padre
90851,Egresado
90852,Egresado
90853,Egresado
90854,Egresado
90855,Padre
90856,Padre
90857,Padre
90858,Padre
90859,Egresado
90860,Padre
90861,Egresado
90862,Padre
90863,Padre
90864,Invitado
90865,Egresado
90866,Invitado
90867,Egresado
90868,Invitado
90869,Padre
90870,Egresado
90871,Padre
90872,Padre
90873,Padre
90874,Padre
90875,Invitado
90876,Egresado
90877,Padre
90878,Egresado
90879,Invitado
90880,Egresado
90881,Padre
90882,Padre
90883,Padre
90884,Egresado
90885,Invitado
90886,Egresado
90887,Egresado
90888,Egresado
90889,Padre
90890,Padre
90891,Padre
90892,Invitado
90893,Padre
90894,Invitado
90895,Padre
90896,Invitado
90897,Invitado
90898,Padre
90899,Invitado
90900,Invitado
90901,Invitado
90902,Padre
90903,Padre
90904,Invitado
90905,Egresado
90906,Invitado
90907,Padre
90908,Egresado
90909,Invitado
90910,Invitado
90911,Invitado
90912,Invitado
90913,Invitado
90914,Invitado
90915,Egresado
90916,Padre
90917,Egresado
90918,Padre
90919,Padre
90920,Padre
90921,Egresado
90922,Invitado
90923,Invitado
90924,Padre
90925,Invitado
90926,Egresado
90927,Padre
90928,Invitado
90929,Padre
90930,Padre
90931,Padre
90932,Egresado
90933,Invitado
90934,Invitado
90935,Invitado
90936,Egresado
90937,Padre
90938,Invitado
90939,Invitado
90940,Padre
90941,Invitado
90942,Padre
90943,Invitado
90944,Padre
90945,Invitado
90946,Egresado
90947,Padre
90948,Invitado
90949,Invitado
90950,Padre
90951,Padre
90952,Egresado
90953,Invitado
90954,Invitado
90955,Egresado
90956,Padre
90957,Padre
90958,Egresado
90959,Egresado
90960,Egresado
90961,Invitado
90962,Invitado
90963,Egresado
90964,Egresado
90965,Egresado
90966,Padre
90967,Egresado
90968,Invitado
90969,Egresado
90970,Invitado
90971,Invitado
90972,Padre
90973,Egresado
90974,Padre
90975,Egresado
90976,Padre
90977,Padre
90978,Egresado
90979,Egresado
90980,Invitado
90981,Invitado
90982,Invitado
90983,Invitado
90984,Egresado
90985,Padre
90986,Padre
90987,Invitado
90988,Invitado
90989,Padre
90990,Invitado
90991,Invitado
90992,Invitado
90993,Invitado
90994,Padre
90995,Padre
90996,Invitado
90997,Egresado
90998,Invitado
90999,Padre
91000,Invitado
91001,Padre
91002,Invitado
91003,Padre
91004,Padre
91005,Padre
91006,Egresado
91007,Egresado
91008,Padre
91009,Padre
91010,Egresado
91011,Padre
91012,Egresado
91013,Padre
91014,Egresado
91015,Egresado
91016,Padre
91017,Padre
91018,Padre
91019,Invitado
91020,Padre
91021,Invitado
91022,Padre
91023,Invitado
91024,Egresado
91025,Padre
91026,Invitado
91027,Invitado
91028,Invitado
91029,Padre
91030,Padre
91031,Invitado
91032,Egresado
91033,Padre
91034,Invitado
91035,Invitado
91036,Invitado
91037,Padre
91038,Egresado
91039,Padre
91040,Padre
91041,Padre
91042,Invitado
91043,Invitado
91044,Padre
91045,Padre
91046,Padre
91047,Egresado
91048,Egresado
91049,Invitado
91050,Padre
91051,Padre
91052,Padre
91053,Invitado
91054,Egresado
91055,Padre
91056,Padre
91057,Invitado
91058,Invitado
91059,Egresado
91060,Padre
91061,Invitado
91062,Invitado
91063,Padre
91064,Egresado
91065,Egresado
91066,Egresado
91067,Egresado
91068,Invitado
91069,Padre
91070,Invitado
91071,Egresado
91072,Padre
91073,Egresado
91074,Invitado
91075,Invitado
91076,Invitado
91077,Padre
91078,Padre
91079,Egresado
91080,Egresado
91081,Padre
91082,Invitado
91083,Padre
91084,Egresado
91085,Egresado
91086,Padre
91087,Padre
91088,Egresado
91089,Egresado
91090,Egresado
91091,Invitado
91092,Invitado
91093,Invitado
91094,Invitado
91095,Padre
91096,Padre
91097,Invitado
91098,Egresado
91099,Padre
91100,Padre
91101,Egresado
91102,Invitado
91103,Egresado
91104,Invitado
91105,Padre
91106,Invitado
91107,Padre
91108,Invitado
91109,Egresado
91110,Padre
91111,Egresado
91112,Invitado
91113,Egresado
91114,Invitado
91115,Egresado
91116,Invitado
91117,Egresado
91118,Padre
91119,Egresado
91120,Padre
91121,Invitado
91122,Invitado
91123,Invitado
91124,Padre
91125,Padre
91126,Padre
91127,Padre
91128,Egresado
91129,Egresado
91130,Egresado
91131,Invitado
91132,Egresado
91133,Padre
91134,Padre
91135,Egresado
91136,Invitado
91137,Padre
91138,Invitado
91139,Invitado
91140,Egresado
91141,Egresado
91142,Invitado
91143,Invitado
91144,Invitado
91145,Invitado
91146,Egresado
91147,Invitado
91148,Padre
91149,Egresado
91150,Invitado
91151,Egresado
91152,Padre
91153,Invitado
91154,Egresado
91155,Padre
91156,Padre
91157,Padre
91158,Egresado
91159,Invitado
91160,Egresado
91161,Invitado
91162,Egresado
91163,Invitado
91164,Egresado
91165,Padre
91166,Egresado
91167,Invitado
91168,Padre
91169,Egresado
91170,Invitado
91171,Invitado
91172,Padre
91173,Egresado
91174,Invitado
91175,Egresado
91176,Padre
91177,Egresado
91178,Egresado
91179,Egresado
91180,Invitado
91181,Egresado
91182,Egresado
91183,Egresado
91184,Egresado
91185,Invitado
91186,Invitado
91187,Padre
91188,Egresado
91189,Padre
91190,Invitado
91191,Egresado
91192,Egresado
91193,Padre
91194,Egresado
91195,Egresado
91196,Padre
91197,Padre
91198,Invitado
91199,Invitado
91200,Invitado
91201,Padre
91202,Egresado
91203,Invitado
91204,Padre
91205,Egresado
91206,Invitado
91207,Padre
91208,Egresado
91209,Padre
91210,Invitado
91211,Padre
91212,Padre
91213,Invitado
91214,Invitado
91215,Invitado
91216,Egresado
91217,Egresado
91218,Invitado
91219,Padre
91220,Egresado
91221,Invitado
91222,Invitado
91223,Egresado
91224,Invitado
91225,Padre
91226,Invitado
91227,Padre
91228,Padre
91229,Invitado
91230,Egresado
91231,Padre
91232,Egresado
91233,Egresado
91234,Padre
91235,Invitado
91236,Padre
91237,Invitado
91238,Invitado
91239,Padre
91240,Padre
91241,Padre
91242,Egresado
91243,Invitado
91244,Padre
91245,Padre
91246,Padre
91247,Egresado
91248,Invitado
91249,Padre
91250,Egresado
91251,Egresado
91252,Egresado
91253,Invitado
91254,Invitado
91255,Padre
91256,Invitado
91257,Egresado
91258,Padre
91259,Padre
91260,Padre
91261,Invitado
91262,Egresado
91263,Invitado
91264,Invitado
91265,Padre
91266,Invitado
91267,Egresado
91268,Padre
91269,Egresado
91270,Invitado
91271,Invitado
91272,Padre
91273,Padre
91274,Invitado
91275,Egresado
91276,Invitado
91277,Padre
91278,Invitado
91279,Egresado
91280,Padre
91281,Egresado
91282,Padre
91283,Padre
91284,Invitado
91285,Padre
91286,Egresado
91287,Padre
91288,Padre
91289,Egresado
91290,Egresado
91291,Invitado
91292,Invitado
91293,Padre
91294,Egresado
91295,Invitado
91296,Padre
91297,Padre
91298,Padre
91299,Padre
91300,Egresado
91301,Egresado
91302,Padre
91303,Egresado
91304,Padre
91305,Padre
91306,Padre
91307,Egresado
91308,Invitado
91309,Padre
91310,Egresado
91311,Invitado
91312,Egresado
91313,Egresado
91314,Padre
91315,Invitado
91316,Padre
91317,Invitado
91318,Egresado
91319,Invitado
91320,Egresado
91321,Padre
91322,Invitado
91323,Padre
91324,Invitado
91325,Egresado
91326,Invitado
91327,Padre
91328,Invitado
91329,Padre
91330,Padre
91331,Egresado
91332,Invitado
91333,Padre
91334,Egresado
91335,Padre
91336,Invitado
91337,Egresado
91338,Egresado
91339,Egresado
91340,Padre
91341,Invitado
91342,Padre
91343,Padre
91344,Invitado
91345,Egresado
91346,Invitado
91347,Padre
91348,Invitado
91349,Padre
91350,Invitado
91351,Egresado
91352,Egresado
91353,Padre
91354,Padre
91355,Egresado
91356,Padre
91357,Padre
91358,Invitado
91359,Egresado
91360,Invitado
91361,Egresado
91362,Invitado
91363,Padre
91364,Padre
91365,Invitado
91366,Egresado
91367,Invitado
91368,Padre
91369,Invitado
91370,Invitado
91371,Egresado
91372,Padre
91373,Padre
91374,Padre
91375,Invitado
91376,Invitado
91377,Padre
91378,Invitado
91379,Egresado
91380,Egresado
91381,Padre
91382,Padre
91383,Invitado
91384,Egresado
91385,Invitado
91386,Padre
91387,Egresado
91388,Egresado
91389,Invitado
91390,Padre
91391,Invitado
91392,Padre
91393,Padre
91394,Invitado
91395,Padre
91396,Padre
91397,Invitado
91398,Invitado
91399,Invitado
91400,Invitado
91401,Invitado
91402,Invitado
91403,Invitado
91404,Invitado
91405,Padre
91406,Invitado
91407,Padre
91408,Invitado
91409,Egresado
91410,Invitado
91411,Padre
91412,Egresado
91413,Padre
91414,Egresado
91415,Invitado
91416,Invitado
91417,Padre
91418,Padre
91419,Invitado
91420,Padre
91421,Invitado
91422,Invitado
91423,Egresado
91424,Padre
91425,Padre
91426,Padre
91427,Egresado
91428,Egresado
91429,Invitado
91430,Egresado
91431,Invitado
91432,Padre
91433,Invitado
91434,Padre
91435,Egresado
91436,Invitado
91437,Padre
91438,Egresado
91439,Invitado
91440,Invitado
91441,Egresado
91442,Egresado
91443,Padre
91444,Invitado
91445,Padre
91446,Egresado
91447,Egresado
91448,Invitado
91449,Invitado
91450,Egresado
91451,Egresado
91452,Padre
91453,Padre
91454,Padre
91455,Padre
91456,Egresado
91457,Padre
91458,Padre
91459,Invitado
91460,Invitado
91461,Invitado
91462,Invitado
91463,Egresado
91464,Invitado
91465,Invitado
91466,Egresado
91467,Invitado
91468,Padre
91469,Padre
91470,Padre
91471,Invitado
91472,Egresado
91473,Invitado
91474,Egresado
91475,Egresado
91476,Egresado
91477,Padre
91478,Egresado
91479,Invitado
91480,Invitado
91481,Invitado
91482,Invitado
91483,Invitado
91484,Egresado
91485,Invitado
91486,Invitado
91487,Padre
91488,Egresado
91489,Egresado
91490,Egresado
91491,Invitado
91492,Invitado
91493,Padre
91494,Padre
91495,Invitado
91496,Invitado
91497,Invitado
91498,Padre
91499,Egresado
91500,Invitado
91501,Egresado
91502,Egresado
91503,Egresado
91504,Invitado
91505,Egresado
91506,Invitado
91507,Invitado
91508,Invitado
91509,Padre
91510,Invitado
91511,Padre
91512,Invitado
91513,Invitado
91514,Invitado
91515,Invitado
91516,Invitado
91517,Egresado
91518,Egresado
91519,Egresado
91520,Invitado
91521,Invitado
91522,Invitado
91523,Padre
91524,Invitado
91525,Padre
91526,Padre
91527,Invitado
91528,Egresado
91529,Invitado
91530,Egresado
91531,Padre
91532,Padre
91533,Egresado
91534,Padre
91535,Padre
91536,Padre
91537,Invitado
91538,Invitado
91539,Egresado
91540,Egresado
91541,Invitado
91542,Invitado
91543,Invitado
91544,Invitado
91545,Egresado
91546,Invitado
91547,Egresado
91548,Invitado
91549,Padre
91550,Invitado
91551,Padre
91552,Padre
91553,Egresado
91554,Invitado
91555,Invitado
91556,Padre
91557,Padre
91558,Padre
91559,Invitado
91560,Egresado
91561,Invitado
91562,Padre
91563,Egresado
91564,Padre
91565,Padre
91566,Egresado
91567,Invitado
91568,Padre
91569,Invitado
91570,Padre
91571,Egresado
91572,Egresado
91573,Egresado
91574,Egresado
91575,Egresado
91576,Invitado
91577,Padre
91578,Egresado
91579,Invitado
91580,Padre
91581,Padre
91582,Egresado
91583,Padre
91584,Egresado
91585,Egresado
91586,Padre
91587,Invitado
91588,Padre
91589,Padre
91590,Invitado
91591,Padre
91592,Egresado
91593,Padre
91594,Egresado
91595,Egresado
91596,Invitado
91597,Padre
91598,Padre
91599,Invitado
91600,Invitado
91601,Padre
91602,Invitado
91603,Padre
91604,Invitado
91605,Padre
91606,Padre
91607,Padre
91608,Invitado
91609,Padre
91610,Egresado
91611,Invitado
91612,Egresado
91613,Invitado
91614,Padre
91615,Invitado
91616,Egresado
91617,Invitado
91618,Padre
91619,Invitado
91620,Invitado
91621,Padre
91622,Egresado
91623,Egresado
91624,Egresado
91625,Padre
91626,Padre
91627,Egresado
91628,Padre
91629,Padre
91630,Padre
91631,Invitado
91632,Padre
91633,Invitado
91634,Padre
91635,Padre
91636,Padre
91637,Egresado
91638,Invitado
91639,Invitado
91640,Padre
91641,Egresado
91642,Padre
91643,Padre
91644,Padre
91645,Egresado
91646,Egresado
91647,Egresado
91648,Padre
91649,Invitado
91650,Padre
91651,Invitado
91652,Invitado
91653,Invitado
91654,Egresado
91655,Invitado
91656,Padre
91657,Padre
91658,Invitado
91659,Invitado
91660,Egresado
91661,Egresado
91662,Egresado
91663,Egresado
91664,Padre
91665,Invitado
91666,Egresado
91667,Egresado
91668,Padre
91669,Invitado
91670,Padre
91671,Invitado
91672,Egresado
91673,Egresado
91674,Padre
91675,Invitado
91676,Invitado
91677,Padre
91678,Invitado
91679,Egresado
91680,Egresado
91681,Egresado
91682,Egresado
91683,Padre
91684,Padre
91685,Egresado
91686,Invitado
91687,Padre
91688,Egresado
91689,Egresado
91690,Egresado
91691,Invitado
91692,Egresado
91693,Invitado
91694,Padre
91695,Invitado
91696,Invitado
91697,Padre
91698,Padre
91699,Padre
91700,Invitado
91701,Invitado
91702,Padre
91703,Padre
91704,Egresado
91705,Egresado
91706,Padre
91707,Egresado
91708,Invitado
91709,Padre
91710,Egresado
91711,Padre
91712,Egresado
91713,Egresado
91714,Padre
91715,Padre
91716,Invitado
91717,Invitado
91718,Egresado
91719,Invitado
91720,Padre
91721,Padre
91722,Invitado
91723,Invitado
91724,Padre
91725,Egresado
91726,Egresado
91727,Egresado
91728,Invitado
91729,Invitado
91730,Padre
91731,Invitado
91732,Padre
91733,Invitado
91734,Egresado
91735,Egresado
91736,Invitado
91737,Egresado
91738,Invitado
91739,Egresado
91740,Egresado
91741,Invitado
91742,Egresado
91743,Padre
91744,Padre
91745,Invitado
91746,Padre
91747,Egresado
91748,Padre
91749,Egresado
91750,Padre
91751,Invitado
91752,Padre
91753,Invitado
91754,Egresado
91755,Egresado
91756,Egresado
91757,Invitado
91758,Egresado
91759,Invitado
91760,Invitado
91761,Padre
91762,Egresado
91763,Invitado
91764,Egresado
91765,Egresado
91766,Invitado
91767,Padre
91768,Egresado
91769,Invitado
91770,Invitado
91771,Egresado
91772,Egresado
91773,Egresado
91774,Invitado
91775,Egresado
91776,Padre
91777,Egresado
91778,Padre
91779,Invitado
91780,Padre
91781,Padre
91782,Invitado
91783,Padre
91784,Invitado
91785,Invitado
91786,Invitado
91787,Egresado
91788,Egresado
91789,Egresado
91790,Invitado
91791,Egresado
91792,Invitado
91793,Invitado
91794,Padre
91795,Egresado
91796,Egresado
91797,Egresado
91798,Egresado
91799,Invitado
91800,Egresado
91801,Egresado
91802,Padre
91803,Invitado
91804,Egresado
91805,Invitado
91806,Egresado
91807,Padre
91808,Invitado
91809,Padre
91810,Padre
91811,Padre
91812,Invitado
91813,Padre
91814,Padre
91815,Invitado
91816,Padre
91817,Invitado
91818,Egresado
91819,Egresado
91820,Padre
91821,Egresado
91822,Padre
91823,Egresado
