idAlojamiento,tipoBano,tipoHabitacion
30297,Privado,Compartida
30298,Publico,Individual
30299,Publico,Compartida
30300,Publico,Compartida
30301,Publico,Compartida
30302,Privado,Compartida
30303,Publico,Individual
30304,Privado,Individual
30305,Publico,Compartida
30306,Publico,Individual
30307,Publico,Compartida
30308,Privado,Compartida
30309,Privado,Compartida
30310,Publico,Compartida
30311,Publico,Compartida
30312,Publico,Compartida
30313,Privado,Individual
30314,Publico,Individual
30315,Privado,Individual
30316,Privado,Individual
30317,Privado,Compartida
30318,Privado,Compartida
30319,Privado,Compartida
30320,Privado,Compartida
30321,Publico,Compartida
30322,Publico,Compartida
30323,Publico,Individual
30324,Privado,Individual
30325,Publico,Individual
30326,Privado,Compartida
30327,Publico,Individual
30328,Publico,Compartida
30329,Publico,Compartida
30330,Privado,Individual
30331,Privado,Individual
30332,Privado,Individual
30333,Privado,Individual
30334,Publico,Individual
30335,Publico,Compartida
30336,Privado,Compartida
30337,Publico,Individual
30338,Privado,Individual
30339,Publico,Individual
30340,Publico,Individual
30341,Privado,Individual
30342,Privado,Compartida
30343,Privado,Individual
30344,Privado,Individual
30345,Privado,Individual
30346,Publico,Individual
30347,Privado,Compartida
30348,Privado,Compartida
30349,Publico,Individual
30350,Publico,Individual
30351,Publico,Compartida
30352,Publico,Individual
30353,Publico,Individual
30354,Privado,Individual
30355,Privado,Individual
30356,Publico,Compartida
30357,Privado,Individual
30358,Privado,Compartida
30359,Privado,Compartida
30360,Publico,Individual
30361,Publico,Compartida
30362,Publico,Individual
30363,Publico,Individual
30364,Publico,Compartida
30365,Privado,Compartida
30366,Publico,Compartida
30367,Privado,Individual
30368,Privado,Individual
30369,Publico,Compartida
30370,Privado,Individual
30371,Publico,Compartida
30372,Publico,Individual
30373,Publico,Individual
30374,Publico,Individual
30375,Privado,Compartida
30376,Privado,Individual
30377,Publico,Compartida
30378,Privado,Individual
30379,Privado,Individual
30380,Publico,Individual
30381,Publico,Compartida
30382,Privado,Individual
30383,Privado,Compartida
30384,Publico,Individual
30385,Publico,Compartida
30386,Publico,Compartida
30387,Publico,Compartida
30388,Privado,Compartida
30389,Publico,Individual
30390,Publico,Compartida
30391,Privado,Individual
30392,Publico,Individual
30393,Publico,Individual
30394,Privado,Individual
30395,Privado,Individual
30396,Publico,Individual
30397,Privado,Individual
30398,Publico,Compartida
30399,Privado,Compartida
30400,Publico,Individual
30401,Publico,Individual
30402,Publico,Compartida
30403,Publico,Compartida
30404,Publico,Individual
30405,Privado,Individual
30406,Privado,Compartida
30407,Publico,Individual
30408,Publico,Individual
30409,Publico,Individual
30410,Privado,Individual
30411,Publico,Individual
30412,Publico,Compartida
30413,Publico,Compartida
30414,Publico,Individual
30415,Privado,Individual
30416,Publico,Individual
30417,Publico,Individual
30418,Privado,Compartida
30419,Privado,Compartida
30420,Privado,Compartida
30421,Publico,Individual
30422,Privado,Individual
30423,Publico,Individual
30424,Publico,Compartida
30425,Privado,Individual
30426,Privado,Compartida
30427,Publico,Individual
30428,Publico,Individual
30429,Privado,Individual
30430,Publico,Individual
30431,Privado,Compartida
30432,Privado,Individual
30433,Privado,Individual
30434,Privado,Individual
30435,Publico,Individual
30436,Publico,Individual
30437,Publico,Individual
30438,Publico,Individual
30439,Publico,Individual
30440,Privado,Compartida
30441,Publico,Individual
30442,Privado,Compartida
30443,Publico,Compartida
30444,Publico,Individual
30445,Publico,Individual
30446,Publico,Individual
30447,Publico,Individual
30448,Privado,Compartida
30449,Privado,Compartida
30450,Privado,Individual
30451,Publico,Individual
30452,Publico,Compartida
30453,Privado,Compartida
30454,Publico,Individual
30455,Privado,Compartida
30456,Privado,Compartida
30457,Publico,Individual
30458,Publico,Individual
30459,Privado,Compartida
30460,Privado,Compartida
30461,Publico,Compartida
30462,Publico,Individual
30463,Privado,Individual
30464,Publico,Compartida
30465,Privado,Individual
30466,Privado,Individual
30467,Publico,Individual
30468,Privado,Individual
30469,Publico,Compartida
30470,Publico,Compartida
30471,Privado,Compartida
30472,Publico,Individual
30473,Privado,Individual
30474,Privado,Compartida
30475,Privado,Compartida
30476,Privado,Compartida
30477,Publico,Compartida
30478,Publico,Individual
30479,Privado,Individual
30480,Publico,Individual
30481,Privado,Individual
30482,Privado,Individual
30483,Publico,Individual
30484,Publico,Individual
30485,Publico,Individual
30486,Privado,Individual
30487,Publico,Individual
30488,Privado,Compartida
30489,Privado,Compartida
30490,Privado,Individual
30491,Privado,Compartida
30492,Privado,Individual
30493,Privado,Compartida
30494,Privado,Compartida
30495,Privado,Individual
30496,Privado,Compartida
30497,Publico,Compartida
30498,Privado,Individual
30499,Privado,Compartida
30500,Privado,Individual
30501,Publico,Compartida
30502,Publico,Compartida
30503,Publico,Compartida
30504,Privado,Individual
30505,Publico,Individual
30506,Publico,Compartida
30507,Privado,Individual
30508,Privado,Compartida
30509,Publico,Individual
30510,Privado,Compartida
30511,Privado,Compartida
30512,Privado,Individual
30513,Publico,Compartida
30514,Privado,Compartida
30515,Privado,Individual
30516,Publico,Individual
30517,Publico,Individual
30518,Publico,Individual
30519,Publico,Individual
30520,Privado,Compartida
30521,Publico,Individual
30522,Publico,Compartida
30523,Publico,Compartida
30524,Privado,Compartida
30525,Privado,Individual
30526,Publico,Individual
30527,Publico,Individual
30528,Privado,Compartida
30529,Publico,Individual
30530,Publico,Compartida
30531,Publico,Compartida
30532,Privado,Compartida
30533,Publico,Individual
30534,Publico,Compartida
30535,Publico,Individual
30536,Publico,Individual
30537,Privado,Compartida
30538,Publico,Individual
30539,Publico,Individual
30540,Privado,Individual
30541,Privado,Individual
30542,Publico,Individual
30543,Privado,Individual
30544,Publico,Individual
30545,Publico,Compartida
30546,Privado,Compartida
30547,Privado,Compartida
30548,Privado,Compartida
30549,Privado,Individual
30550,Publico,Compartida
30551,Publico,Individual
30552,Publico,Compartida
30553,Privado,Individual
30554,Privado,Compartida
30555,Publico,Compartida
30556,Publico,Compartida
30557,Publico,Compartida
30558,Privado,Compartida
30559,Privado,Compartida
30560,Privado,Compartida
30561,Privado,Individual
30562,Publico,Individual
30563,Publico,Compartida
30564,Publico,Compartida
30565,Privado,Compartida
30566,Publico,Individual
30567,Privado,Individual
30568,Privado,Individual
30569,Publico,Compartida
30570,Privado,Individual
30571,Publico,Compartida
30572,Publico,Individual
30573,Privado,Compartida
30574,Publico,Individual
30575,Privado,Compartida
30576,Privado,Compartida
30577,Privado,Individual
30578,Privado,Individual
30579,Privado,Individual
30580,Privado,Individual
30581,Privado,Compartida
30582,Publico,Compartida
30583,Privado,Compartida
30584,Privado,Individual
30585,Privado,Individual
30586,Privado,Compartida
30587,Privado,Compartida
30588,Publico,Individual
30589,Privado,Compartida
30590,Publico,Compartida
30591,Privado,Compartida
30592,Privado,Compartida
30593,Publico,Individual
30594,Privado,Individual
30595,Privado,Compartida
30596,Publico,Individual
30597,Publico,Compartida
30598,Publico,Compartida
30599,Privado,Individual
30600,Publico,Individual
30601,Publico,Individual
30602,Publico,Individual
30603,Publico,Individual
30604,Publico,Compartida
30605,Privado,Compartida
30606,Publico,Compartida
30607,Privado,Compartida
30608,Publico,Individual
30609,Publico,Compartida
30610,Privado,Compartida
30611,Publico,Compartida
30612,Publico,Compartida
30613,Publico,Individual
30614,Publico,Individual
30615,Privado,Individual
30616,Privado,Compartida
30617,Privado,Individual
30618,Privado,Individual
30619,Privado,Individual
30620,Publico,Individual
30621,Publico,Compartida
30622,Privado,Individual
30623,Publico,Individual
30624,Privado,Compartida
30625,Publico,Compartida
30626,Publico,Compartida
30627,Publico,Compartida
30628,Privado,Compartida
30629,Privado,Compartida
30630,Publico,Individual
30631,Publico,Individual
30632,Privado,Individual
30633,Publico,Compartida
30634,Publico,Individual
30635,Privado,Individual
30636,Privado,Individual
30637,Publico,Compartida
30638,Publico,Individual
30639,Publico,Individual
30640,Privado,Compartida
30641,Privado,Compartida
30642,Publico,Individual
30643,Privado,Compartida
30644,Publico,Individual
30645,Privado,Individual
30646,Privado,Compartida
30647,Publico,Individual
30648,Publico,Individual
30649,Publico,Individual
30650,Privado,Compartida
30651,Publico,Individual
30652,Publico,Individual
30653,Publico,Compartida
30654,Publico,Individual
30655,Privado,Individual
30656,Privado,Individual
30657,Privado,Individual
30658,Publico,Individual
30659,Publico,Individual
30660,Publico,Individual
30661,Privado,Compartida
30662,Publico,Compartida
30663,Privado,Individual
30664,Privado,Individual
30665,Publico,Individual
30666,Privado,Compartida
30667,Privado,Individual
30668,Privado,Individual
30669,Privado,Compartida
30670,Publico,Individual
30671,Publico,Compartida
30672,Publico,Individual
30673,Publico,Individual
30674,Privado,Compartida
30675,Publico,Individual
30676,Publico,Individual
30677,Privado,Compartida
30678,Privado,Compartida
30679,Privado,Individual
30680,Privado,Individual
30681,Publico,Compartida
30682,Publico,Individual
30683,Publico,Compartida
30684,Privado,Compartida
30685,Publico,Individual
30686,Privado,Compartida
30687,Privado,Compartida
30688,Privado,Compartida
30689,Privado,Individual
30690,Privado,Individual
30691,Privado,Individual
30692,Privado,Individual
30693,Publico,Compartida
30694,Privado,Individual
30695,Publico,Individual
30696,Publico,Individual
30697,Publico,Individual
30698,Privado,Individual
30699,Privado,Compartida
30700,Publico,Compartida
30701,Publico,Compartida
30702,Privado,Compartida
30703,Publico,Individual
30704,Privado,Compartida
30705,Publico,Compartida
30706,Privado,Compartida
30707,Publico,Individual
30708,Publico,Individual
30709,Privado,Compartida
30710,Privado,Compartida
30711,Privado,Compartida
30712,Privado,Compartida
30713,Privado,Compartida
30714,Publico,Compartida
30715,Privado,Individual
30716,Privado,Individual
30717,Publico,Compartida
30718,Publico,Individual
30719,Publico,Individual
30720,Publico,Individual
30721,Privado,Individual
30722,Publico,Compartida
30723,Privado,Individual
30724,Publico,Individual
30725,Privado,Compartida
30726,Publico,Compartida
30727,Publico,Compartida
30728,Privado,Compartida
30729,Privado,Individual
30730,Publico,Individual
30731,Privado,Individual
30732,Publico,Compartida
30733,Privado,Individual
30734,Privado,Compartida
30735,Publico,Individual
30736,Privado,Compartida
30737,Privado,Individual
30738,Privado,Individual
30739,Privado,Individual
30740,Privado,Compartida
30741,Publico,Individual
30742,Privado,Compartida
30743,Publico,Compartida
30744,Privado,Individual
30745,Publico,Compartida
30746,Privado,Compartida
30747,Privado,Individual
30748,Privado,Individual
30749,Publico,Individual
30750,Privado,Individual
30751,Privado,Individual
30752,Publico,Compartida
30753,Privado,Compartida
30754,Publico,Individual
30755,Privado,Compartida
30756,Privado,Individual
30757,Privado,Compartida
30758,Publico,Compartida
30759,Publico,Compartida
30760,Privado,Compartida
30761,Publico,Compartida
30762,Privado,Individual
30763,Publico,Individual
30764,Publico,Individual
30765,Publico,Individual
30766,Privado,Individual
30767,Privado,Individual
30768,Publico,Compartida
30769,Publico,Compartida
30770,Publico,Individual
30771,Publico,Compartida
30772,Privado,Compartida
30773,Privado,Compartida
30774,Publico,Compartida
30775,Publico,Compartida
30776,Publico,Individual
30777,Privado,Compartida
30778,Privado,Individual
30779,Privado,Individual
30780,Publico,Individual
30781,Privado,Compartida
30782,Privado,Individual
30783,Privado,Individual
30784,Privado,Compartida
30785,Privado,Compartida
30786,Privado,Individual
30787,Publico,Individual
30788,Publico,Compartida
30789,Privado,Compartida
30790,Privado,Individual
30791,Privado,Compartida
30792,Privado,Compartida
30793,Privado,Individual
30794,Publico,Individual
30795,Publico,Compartida
30796,Privado,Compartida
30797,Publico,Compartida
30798,Publico,Individual
30799,Privado,Compartida
30800,Publico,Individual
30801,Publico,Compartida
30802,Publico,Individual
30803,Publico,Compartida
30804,Publico,Individual
30805,Privado,Compartida
30806,Privado,Compartida
30807,Publico,Individual
30808,Publico,Compartida
30809,Publico,Compartida
30810,Privado,Individual
30811,Privado,Compartida
30812,Publico,Individual
30813,Privado,Compartida
30814,Publico,Compartida
30815,Privado,Compartida
30816,Privado,Individual
30817,Publico,Compartida
30818,Publico,Individual
30819,Privado,Individual
30820,Privado,Compartida
30821,Publico,Individual
30822,Privado,Compartida
30823,Publico,Compartida
30824,Publico,Compartida
30825,Privado,Individual
30826,Privado,Individual
30827,Publico,Individual
30828,Publico,Compartida
30829,Privado,Individual
30830,Publico,Individual
30831,Privado,Compartida
30832,Privado,Compartida
30833,Publico,Compartida
30834,Publico,Compartida
30835,Privado,Individual
30836,Privado,Compartida
30837,Publico,Individual
30838,Privado,Compartida
30839,Privado,Individual
30840,Privado,Individual
30841,Privado,Individual
30842,Publico,Individual
30843,Publico,Compartida
30844,Publico,Compartida
30845,Publico,Compartida
30846,Privado,Compartida
30847,Publico,Compartida
30848,Publico,Compartida
30849,Publico,Compartida
30850,Privado,Compartida
30851,Privado,Individual
30852,Privado,Compartida
30853,Publico,Compartida
30854,Publico,Individual
30855,Privado,Individual
30856,Publico,Compartida
30857,Privado,Compartida
30858,Privado,Compartida
30859,Privado,Individual
30860,Publico,Compartida
30861,Publico,Compartida
30862,Privado,Compartida
30863,Privado,Individual
30864,Publico,Compartida
30865,Privado,Individual
30866,Privado,Compartida
30867,Publico,Individual
30868,Publico,Individual
30869,Privado,Compartida
30870,Publico,Individual
30871,Privado,Individual
30872,Privado,Compartida
30873,Privado,Individual
30874,Publico,Individual
30875,Publico,Compartida
30876,Publico,Compartida
30877,Privado,Individual
30878,Publico,Individual
30879,Publico,Individual
30880,Publico,Individual
30881,Publico,Compartida
30882,Publico,Compartida
30883,Privado,Individual
30884,Publico,Individual
30885,Publico,Compartida
30886,Privado,Compartida
30887,Publico,Compartida
30888,Publico,Compartida
30889,Publico,Compartida
30890,Privado,Compartida
30891,Privado,Individual
30892,Privado,Compartida
30893,Publico,Compartida
30894,Privado,Individual
30895,Privado,Individual
30896,Privado,Compartida
30897,Publico,Compartida
30898,Privado,Compartida
30899,Publico,Compartida
30900,Privado,Compartida
30901,Privado,Individual
30902,Privado,Individual
30903,Publico,Individual
30904,Publico,Individual
30905,Privado,Compartida
30906,Publico,Compartida
30907,Privado,Compartida
30908,Publico,Individual
30909,Publico,Compartida
30910,Publico,Compartida
30911,Publico,Individual
30912,Privado,Compartida
30913,Privado,Compartida
30914,Publico,Individual
30915,Privado,Compartida
30916,Privado,Compartida
30917,Privado,Individual
30918,Publico,Compartida
30919,Publico,Individual
30920,Publico,Individual
30921,Privado,Compartida
30922,Privado,Compartida
30923,Publico,Individual
30924,Privado,Compartida
30925,Publico,Individual
30926,Privado,Compartida
30927,Publico,Individual
30928,Publico,Individual
30929,Publico,Compartida
30930,Privado,Individual
30931,Publico,Individual
30932,Privado,Individual
30933,Publico,Individual
30934,Publico,Individual
30935,Privado,Individual
30936,Publico,Individual
30937,Publico,Compartida
30938,Privado,Individual
30939,Privado,Individual
30940,Publico,Compartida
30941,Privado,Compartida
30942,Publico,Individual
30943,Privado,Compartida
30944,Privado,Individual
30945,Publico,Compartida
30946,Privado,Compartida
30947,Privado,Individual
30948,Publico,Individual
30949,Privado,Individual
30950,Privado,Individual
30951,Privado,Compartida
30952,Publico,Compartida
30953,Privado,Compartida
30954,Privado,Individual
30955,Publico,Compartida
30956,Publico,Individual
30957,Publico,Individual
30958,Privado,Compartida
30959,Publico,Compartida
30960,Privado,Individual
30961,Privado,Compartida
30962,Privado,Compartida
30963,Privado,Compartida
30964,Privado,Compartida
30965,Publico,Compartida
30966,Publico,Individual
30967,Publico,Compartida
30968,Privado,Individual
30969,Publico,Compartida
30970,Publico,Individual
30971,Publico,Individual
30972,Publico,Individual
30973,Privado,Compartida
30974,Publico,Individual
30975,Publico,Compartida
30976,Privado,Individual
30977,Publico,Individual
30978,Publico,Individual
30979,Publico,Individual
30980,Privado,Individual
30981,Privado,Compartida
30982,Privado,Compartida
30983,Publico,Individual
30984,Privado,Compartida
30985,Privado,Individual
30986,Privado,Individual
30987,Privado,Individual
30988,Privado,Individual
30989,Publico,Individual
30990,Publico,Individual
30991,Publico,Individual
30992,Privado,Individual
30993,Publico,Compartida
30994,Privado,Compartida
30995,Publico,Individual
30996,Privado,Individual
30997,Privado,Individual
30998,Privado,Individual
30999,Publico,Compartida
31000,Privado,Compartida
31001,Privado,Compartida
31002,Publico,Individual
31003,Publico,Individual
31004,Publico,Compartida
31005,Publico,Compartida
31006,Publico,Compartida
31007,Privado,Compartida
31008,Privado,Individual
31009,Publico,Individual
31010,Privado,Individual
31011,Privado,Individual
31012,Publico,Individual
31013,Privado,Compartida
31014,Publico,Individual
31015,Publico,Compartida
31016,Publico,Individual
31017,Publico,Compartida
31018,Publico,Compartida
31019,Privado,Compartida
31020,Privado,Compartida
31021,Publico,Compartida
31022,Privado,Compartida
31023,Publico,Compartida
31024,Publico,Individual
31025,Privado,Individual
31026,Privado,Compartida
31027,Privado,Compartida
31028,Publico,Compartida
31029,Publico,Compartida
31030,Publico,Individual
31031,Publico,Individual
31032,Publico,Individual
31033,Publico,Compartida
31034,Publico,Compartida
31035,Privado,Compartida
31036,Publico,Compartida
31037,Publico,Individual
31038,Privado,Compartida
31039,Publico,Individual
31040,Publico,Compartida
31041,Privado,Individual
31042,Publico,Compartida
31043,Publico,Individual
31044,Publico,Compartida
31045,Privado,Compartida
31046,Privado,Compartida
31047,Publico,Compartida
31048,Privado,Individual
31049,Privado,Compartida
31050,Privado,Compartida
31051,Publico,Compartida
31052,Privado,Individual
31053,Publico,Compartida
31054,Privado,Individual
31055,Privado,Individual
31056,Privado,Compartida
31057,Privado,Compartida
31058,Privado,Compartida
31059,Privado,Compartida
31060,Privado,Compartida
31061,Privado,Individual
31062,Privado,Individual
31063,Privado,Compartida
31064,Publico,Individual
31065,Privado,Individual
31066,Privado,Compartida
31067,Publico,Compartida
31068,Publico,Individual
31069,Publico,Compartida
31070,Publico,Individual
31071,Privado,Individual
31072,Publico,Compartida
31073,Privado,Individual
31074,Privado,Compartida
31075,Privado,Individual
31076,Privado,Individual
31077,Privado,Compartida
31078,Publico,Compartida
31079,Publico,Compartida
31080,Publico,Compartida
31081,Publico,Individual
31082,Publico,Compartida
31083,Publico,Compartida
31084,Publico,Compartida
31085,Publico,Compartida
31086,Privado,Compartida
31087,Privado,Compartida
31088,Privado,Compartida
31089,Privado,Compartida
31090,Privado,Individual
31091,Publico,Individual
31092,Publico,Compartida
31093,Publico,Individual
31094,Publico,Compartida
31095,Publico,Compartida
31096,Privado,Individual
31097,Publico,Compartida
31098,Privado,Individual
31099,Publico,Compartida
31100,Privado,Individual
31101,Privado,Compartida
31102,Privado,Individual
31103,Privado,Compartida
31104,Publico,Individual
31105,Privado,Compartida
31106,Publico,Compartida
31107,Privado,Compartida
31108,Publico,Individual
31109,Publico,Individual
31110,Privado,Compartida
31111,Publico,Individual
31112,Privado,Compartida
31113,Privado,Compartida
31114,Privado,Individual
31115,Privado,Individual
31116,Privado,Individual
31117,Publico,Compartida
31118,Privado,Individual
31119,Publico,Individual
31120,Privado,Individual
31121,Publico,Individual
31122,Publico,Individual
31123,Publico,Individual
31124,Privado,Individual
31125,Privado,Individual
31126,Privado,Individual
31127,Privado,Compartida
31128,Privado,Individual
31129,Privado,Compartida
31130,Privado,Individual
31131,Privado,Compartida
31132,Publico,Compartida
31133,Privado,Compartida
31134,Privado,Compartida
31135,Publico,Compartida
31136,Publico,Compartida
31137,Privado,Individual
31138,Privado,Individual
31139,Privado,Compartida
31140,Publico,Compartida
31141,Privado,Individual
31142,Publico,Individual
31143,Privado,Compartida
31144,Privado,Individual
31145,Privado,Compartida
31146,Privado,Compartida
31147,Publico,Individual
31148,Privado,Individual
31149,Privado,Compartida
31150,Publico,Individual
31151,Publico,Compartida
31152,Privado,Individual
31153,Publico,Individual
31154,Publico,Individual
31155,Privado,Individual
31156,Privado,Individual
31157,Publico,Individual
31158,Publico,Compartida
31159,Publico,Compartida
31160,Publico,Individual
31161,Publico,Compartida
31162,Publico,Individual
31163,Publico,Individual
31164,Publico,Compartida
31165,Privado,Compartida
31166,Publico,Compartida
31167,Publico,Individual
31168,Privado,Compartida
31169,Publico,Individual
31170,Privado,Individual
31171,Publico,Compartida
31172,Privado,Individual
31173,Privado,Compartida
31174,Publico,Compartida
31175,Privado,Compartida
31176,Publico,Compartida
31177,Privado,Individual
31178,Publico,Individual
31179,Publico,Compartida
31180,Privado,Compartida
31181,Privado,Individual
31182,Publico,Individual
31183,Privado,Compartida
31184,Privado,Individual
31185,Publico,Individual
31186,Publico,Individual
31187,Privado,Compartida
31188,Publico,Compartida
31189,Privado,Individual
31190,Privado,Individual
31191,Privado,Individual
31192,Publico,Individual
31193,Publico,Individual
31194,Publico,Individual
31195,Privado,Individual
31196,Privado,Individual
31197,Publico,Compartida
31198,Publico,Individual
31199,Privado,Compartida
31200,Publico,Compartida
31201,Privado,Individual
31202,Privado,Individual
31203,Privado,Compartida
31204,Publico,Individual
31205,Privado,Compartida
31206,Publico,Compartida
31207,Publico,Compartida
31208,Publico,Compartida
31209,Publico,Compartida
31210,Privado,Compartida
31211,Publico,Individual
31212,Privado,Individual
31213,Privado,Individual
31214,Privado,Individual
31215,Publico,Compartida
